D02306,กฟก.โพธิ์ตาก,,,,,,,,,,
D02401,กฟอ.โพนพิสัย,,,,,,,,,,
D02402,กฟก.รัตนวาปี,,,,,,,,,,
D02405,กฟก.เฝ้าไร่,,,,,,,,,,
D03101,กฟจ.ขอนแก่น,,,,,,,,,,
D03201,กฟอ.น้ำพอง,,,,,,,,,,
D03203,กฟอ.เขาสวนกวาง,,,,,,,,,,
D03207,กฟอ.อุบลรัตน์,,,,,,,,,,
D03501,กฟอ.กระนวน,,,,,,,,,,
D03502,กฟก.ซำสูง,,,,,,,,,,
D04101,กฟจ.เลย,,,,,,,,,,
D04103,กฟอ.นาด้วง,,,,,,,,,,
D04104,กฟอ.ท่าลี่,,,,,,,,,,
D04108,กฟอ.ภูเรือ,,,,,,,,,,
D04201,กฟอ.วังสะพุง,,,,,,,,,,
D04202,กฟอ.ภูกระดึง,,,,,,,,,,
D04204,กฟอ.ผาขาว,,,,,,,,,,
D04205,กฟอ.ภูหลวง,,,,,,,,,,
D04206,กฟก.หนองหิน,,,,,,,,,,
D04207,กฟก.เอราวัณ,,,,,,,,,,
D04301,กฟอ.เชียงคาน,,,,,,,,,,
D04302,กฟอ.ปากชม,,,,,,,,,,
D04401,กฟอ.ด่านซ้าย,,,,,,,,,,
D04402,กฟอ.นาแห้ว,,,,,,,,,,
D05101,กฟจ.สกลนคร,,,,,,,,,,
D05102,กฟอ.กุสุมาลย์,,,,,,,,,,
E00000,กฟฉ.2 จ.อุบลราชธานี,,,,,,,,,,
E01101,กฟจ.อุบลราชธานี,,,,,,,,,,
E01108,กฟอ.ตาลสุม,,,,,,,,,,
E01501,กฟอ.ม่วงสามสิบ,,,,,,,,,,
E01601,กฟอ.เขื่องใน,,,,,,,,,,
E01602,กฟต.บ้านกอก,,,,,,,,,,
E02101,กฟจ.ศรีสะเกษ,,,,,,,,,,
E02103,กฟอ.วังหิน,,,,,,,,,,
E02105,กฟอ.น้ำเกลี้ยง(บ้านเขิน),,,,,,,,,,
E02114,กฟอ.พยุห์,,,,,,,,,,
E02117,กฟอ.ยางชุมน้อย,,,,,,,,,,
E02201,กฟอ.อุทุมพรพิสัย,,,,,,,,,,
E02204,กฟอ.บึงบูรพ์,,,,,,,,,,
E02205,กฟอ.ห้วยทับทัน,,,,,,,,,,
E02301,กฟอ.ขุขันธ์,,,,,,,,,,
E02302,กฟอ.ภูสิงห์,,,,,,,,,,
E02304,กฟอ.ปรางค์กู่,,,,,,,,,,
E02401,กฟอ.ราษีไศล,,,,,,,,,,
E02501,กฟอ.กันทรารมย์,,,,,,,,,,
E03101,กฟจ.ยโสธร,,,,,,,,,,
E03102,กฟอ.กุดชุม,,,,,,,,,,
E03103,กฟอ.คำเขื่อนแก้ว,,,,,,,,,,
E03105,กฟอ.ป่าติ้ว,,,,,,,,,,
E03107,กฟอ.ทรายมูล,,,,,,,,,,
E03108,กฟอ.ไทยเจริญ,,,,,,,,,,
E03201,กฟอ.พนมไพร,,,,,,,,,,
E03206,กฟก.หนองฮี,,,,,,,,,,
F00000,กฟฉ.3 จ.นครราชสีมา,,,,,,,,,,
F01101,กฟจ.นครราชสีมา,,,,,,,,,,
F01106,กฟต.จอหอ,,,,,,,,,,
F01201,กฟอ.โนนสูง,,,,,,,,,,
F01202,กฟอ.ขามสะแกแสง,,,,,,,,,,
F01701,กฟอ.โนนไทย,,,,,,,,,,
F01703,กฟก.พระทองคำ,,,,,,,,,,
F02101,กฟจ.ชัยภูมิ,,,,,,,,,,
F02104,กฟอ.บ้านเขว้า,,,,,,,,,,
F02201,กฟอ.แก้งคร้อ,,,,,,,,,,
F02202,กฟอ.คอนสวรรค์,,,,,,,,,,
F02301,กฟอ.จัตุรัส,,,,,,,,,,
F02305,กฟอ.หนองบัวระเหว,,,,,,,,,,
F02306,กฟอ.เนินสง่า,,,,,,,,,,
F02401,กฟอ.หนองบัวแดง,,,,,,,,,,
F02402,กฟอ.ภักดีชุมพล,,,,,,,,,,
F02501,กฟอ.บำเหน็จณรงค์,,,,,,,,,,
F02502,กฟอ.เทพสถิตย์,,,,,,,,,,
F03101,กฟจ.บุรีรัมย์,,,,,,,,,,
F03201,กฟอ.คูเมือง,,,,,,,,,,
F03301,กฟอ.กระสัง,,,,,,,,,,
F03401,กฟอ.สตึก,,,,,,,,,,
F03402,กฟก.แคนดง,,,,,,,,,,
F03501,กฟอ.ลำปลายมาศ,,,,,,,,,,
F03502,กฟอ.หนองหงส์,,,,,,,,,,
F03601,กฟอ.พุทไธสง,,,,,,,,,,
F03602,กฟอ.นาโพธิ์,,,,,,,,,,
F03603,กฟอ.บ้านใหม่ไชยพจน์,,,,,,,,,,
F04101,กฟจ.สุรินทร์,,,,,,,,,,
G00000,กฟก.1 จ.พระนครศรีอยุธยา,,,,,,,,,,
G01101,กฟจ.พระนครศรีอยุธยา,,,,,,,,,,
G01301,กฟอ.นครหลวง,,,,,,,,,,
G01302,กฟอ.ภาชี,,,,,,,,,,
G01401,กฟอ.บางปะหัน,,,,,,,,,,
G01402,กฟอ.มหาราช,,,,,,,,,,
G01404,กฟอ.บ้านแพรก,,,,,,,,,,
G01501,กฟอ.อุทัย,,,,,,,,,,
G02101,กฟจ.อ่างทอง,,,,,,,,,,
G02102,กฟอ.ไชโย,,,,,,,,,,
G02301,กฟอ.วิเศษชัยชาญ,,,,,,,,,,
G02302,กฟอ.สามโก้,,,,,,,,,,
G02401,กฟอ.ป่าโมก,,,,,,,,,,
G02501,กฟอ.โพธิ์ทอง,,,,,,,,,,
G02502,กฟอ.แสวงหา,,,,,,,,,,
G03101,กฟจ.สระบุรี,,,,,,,,,,
G03102,กฟอ.เสาไห้,,,,,,,,,,
G03103,กฟอ.หนองแซง,,,,,,,,,,
G04101,กฟจ.ปราจีนบุรี,,,,,,,,,,
G04401,กฟอ.ประจันตคาม,,,,,,,,,,
G04501,กฟอ.บ้านสร้าง,,,,,,,,,,
G05101,กฟจ.นครนายก,,,,,,,,,,
G05102,กฟอ.ปากพลี,,,,,,,,,,
G05201,กฟอ.บ้านนา,,,,,,,,,,
H00000,กฟก.2 จ.ชลบุรี,,,,,,,,,,
H01101,กฟจ.ชลบุรี,,,,,,,,,,
H02101,กฟจ.ระยอง,,,,,,,,,,
H02201,กฟฟ.เพ,,,,,,,,,,
H02202,กฟฟ.เกาะเสม็ด,,,,,,,,,,
H03101,กฟจ.จันทบุรี,,,,,,,,,,
H03102,กฟอ.มะขาม,,,,,,,,,,
H03108,กฟก.เขาคิชฌกูฏ,,,,,,,,,,
H03201,กฟอ.ท่าใหม่,,,,,,,,,,
H03202,กฟบ.เตาหม้อ,,,,,,,,,,
H03301,กฟอ.ขลุง,,,,,,,,,,
H03302,กฟต.บ่อเวฬุ,,,,,,,,,,
H03401,กฟอ.นายายอาม,,,,,,,,,,
H03402,กฟบ.หนองคล้า,,,,,,,,,,
H03403,กฟอ.แก่งหางแมว,,,,,,,,,,
H03601,กฟอ.แหลมสิงห์,,,,,,,,,,
H04101,กฟจ.ตราด,,,,,,,,,,
H04106,กฟอ.แหลมงอบ,,,,,,,,,,
H04108,กฟก.เกาะกูด,,,,,,,,,,
H04109,กฟย.เกาะหมาก,,,,,,,,,,
H04301,กฟอ.เขาสมิง,,,,,,,,,,
I00000,กฟก.3 จ.นครปฐม,,,,,,,,,,
I01101,กฟจ.นครปฐม,,,,,,,,,,
I01201,กฟอ.ดอนตูม,,,,,,,,,,
I02101,กฟจ.สุพรรณบุรี,,,,,,,,,,
I02201,กฟอ.บางปลาม้า,,,,,,,,,,
I02202,กฟต.มะขามล้ม,,,,,,,,,,
I02301,กฟอ.ดอนเจดีย์,,,,,,,,,,
I02401,กฟอ.ศรีประจันต์,,,,,,,,,,
I02501,กฟอ.สามชุก,,,,,,,,,,
I03101,กฟจ.กาญจนบุรี,,,,,,,,,,
I03201,กฟอ.ท่าม่วง,,,,,,,,,,
I03203,กฟบ.ตลาดสำรอง,,,,,,,,,,
I03301,กฟอ.พนมทวน,,,,,,,,,,
I03305,กฟอ.ห้วยกระเจา,,,,,,,,,,
I03401,กฟอ.ไทรโยค,,,,,,,,,,
I03501,กฟอ.ทองผาภูมิ,,,,,,,,,,
J00000,กฟต.1 จ.เพชรบุรี,,,,,,,,,,
J01101,กฟจ.เพชรบุรี,,,,,,,,,,
J01201,กฟอ.บ้านแหลม,,,,,,,,,,
J01203,กฟต.บางตะบูน,,,,,,,,,,
J01301,กฟอ.ท่ายาง,,,,,,,,,,
J01302,กฟอ.แก่งกระจาน,,,,,,,,,, 
J01303,กฟต.ท่าไม้รวก,,,,,,,,,,
J01501,กฟอ.บ้านลาด,,,,,,,,,,
J01601,กฟอ.เขาย้อย,,,,,,,,,,
J01602,กฟอ.หนองหญ้าปล้อง,,,,,,,,,,
J02101,กฟจ.ราชบุรี,,,,,,,,,,
J02301,กฟอ.ปากท่อ,,,,,,,,,,
J02302,กฟอ.วัดเพลง,,,,,,,,,,
J03101,กฟจ.สมุทรสงคราม,,,,,,,,,,
J03201,กฟอ.อัมพวา,,,,,,,,,,
J03301,กฟอ.บางคนที,,,,,,,,,,
J04101,กฟจ.ประจวบคีรีขันธ์,,,,,,,,,,
J04104,กฟฟ.นิคมสร้างตนเองต.อ่าวน้อย,,,,,,,,,,
K00000,กฟต.2 จ.นครศรีธรรมราช,,,,,,,,,,
K01101,กฟจ.นครศรีธรรมราช,,,,,,,,,,
K01102,กฟอ.ลานสกา,,,,,,,,,,
K01103,กฟอ.พรหมคีรี,,,,,,,,,,
K01104,กฟอ.พระพรหม,,,,,,,,,,
K01105,กฟอ.เฉลิมพระเกียรติ,,,,,,,,,,
K01201,กฟอ.สิชล,,,,,,,,,,
K01301,กฟอ.ท่าศาลา,,,,,,,,,,
K01302,กฟย.นบพิตำ,,,,,,,,,,
K01401,กฟอ.ร่อนพิบูลย์,,,,,,,,,,
K01402,กฟอ.จุฬาภรณ์,,,,,,,,,,
K01601,กฟอ.ชะอวด,,,,,,,,,,
K01701,กฟอ.ขนอม,,,,,,,,,,
K02101,กฟจ.สุราษฎร์ธานี,,,,,,,,,,
K02401,กฟอ.บ้านนาสาร,,,,,,,,,,
K02402,กฟอ.บ้านนาเดิม,,,,,,,,,,
K03101,กฟจ.ตรัง,,,,,,,,,,
K03102,กฟอ.สิเกา,,,,,,,,,,
K03103,กฟอ.นาโยง,,,,,,,,,,
K03201,กฟอ.กันตัง,,,,,,,,,,
K03203,กฟต.เกาะลิบง,,,,,,,,,,
K03204,กฟบ.เกาะมุกต์,,,,,,,,,,
K03301,กฟอ.ห้วยยอด,,,,,,,,,,
K03303,กฟอ.วังวิเศษ,,,,,,,,,,
K03304,กฟอ.รัษฎา,,,,,,,,,,
K03401,กฟอ.ย่านตาขาว,,,,,,,,,,
K03402,กฟอ.ปะเหลียน,,,,,,,,,,
L00000,กฟต.3 จ.ยะลา,,,,,,,,,,
L01101,กฟจ.ยะลา,,,,,,,,,,
L01104,กฟอ.ยะหา,,,,,,,,,,
L01113,กฟอ.กาบัง,,,,,,,,,,
L01114,กฟอ.กรงปินัง,,,,,,,,,,
L01201,กฟอ.บันนังสตา,,,,,,,,,,
L01202,กฟอ.ธารโต,,,,,,,,,,
L01301,กฟอ.รามัน,,,,,,,,,,
L02101,กฟจ.นราธิวาส,,,,,,,,,,
L02102,กฟอ.บาเจาะ,,,,,,,,,,
L02105,กฟอ.ยี่งอ,,,,,,,,,,
L02201,กฟอ.ระแงะ,,,,,,,,,,
L02202,กฟอ.จะแนะ,,,,,,,,,,
L02203,กฟอ.เจาะไอร้อง,,,,,,,,,,
L02301,กฟอ.รือเสาะ,,,,,,,,,,
L02302,กฟอ.ศรีสาคร,,,,,,,,,,
L02401,กฟอ.ตากใบ,,,,,,,,,,
L03101,กฟจ.ปัตตานี,,,,,,,,,,
L03102,กฟอ.ยะหริ่ง,,,,,,,,,,
L03103,กฟอ.ยะรัง,,,,,,,,,,
L03201,กฟอ.โคกโพธิ์,,,,,,,,,,
L03206,กฟอ.แม่ลาน,,,,,,,,,,
L03401,กฟอ.หนองจิก,,,,,,,,,,
A04701,กฟต.นางแล,,,,,,,,,,
A05101,กฟจ.แม่ฮ่องสอน,,,,,,,,,,
A05103,กฟอ.ขุนยวม,,,,,,,,,,
A05201,กฟอ.แม่สะเรียง,,,,,,,,,,
A05202,กฟอ.แม่ลาน้อย,,,,,,,,,,
A05203,กฟอ.สบเมย,,,,,,,,,,
A05301,กฟอ.ปาย,,,,,,,,,,
A05302,กฟย.ปางมะผ้า,,,,,,,,,,
A05303,กฟอ.กัลยาณิวัฒนา,,,,,,,,,,
A06101,กฟจ.พะเยา,,,,,,,,,,
A06103,กฟอ.แม่ใจ,,,,,,,,,,
A06116,กฟอ.ภูกามยาว,,,,,,,,,,
A06117,กฟต.แม่กา,,,,,,,,,,
A06201,กฟอ.เชียงคำ,,,,,,,,,,
A06202,กฟอ.ภูซาง,,,,,,,,,,
A06301,กฟอ.จุน,,,,,,,,,,
A06305,กฟอ.ปง,,,,,,,,,,
A06306,กฟอ.เชียงม่วน,,,,,,,,,,
A06401,กฟอ.ดอกคำใต้,,,,,,,,,,
A07101,กฟอ.ฝาง,,,,,,,,,,
A07105,กฟอ.ไชยปราการ,,,,,,,,,,
A07201,กฟอ.แม่อาย,,,,,,,,,,
A08101,กฟอ.แม่สาย,,,,,,,,,,
A08201,กฟอ.แม่จัน,,,,,,,,,,
A08205,กฟบ.เทอดไทย,,,,,,,,,,
A08206,กฟอ.ดอยหลวง,,,,,,,,,,
A08207,กฟต.แม่สลองนอก,,,,,,,,,,
A08301,กฟอ.เชียงแสน,,,,,,,,,,
A08401,กฟส.แม่ฟ้าหลวง,,,,,,,,,,
A08402,กฟฟ.ดอยตุง,,,,,,,,,,
